Company,Fiscal Year,Period,Report Type,End Date,Release Date,Operating Income,Net Income,EPS Diluted,Total Assets,Shareholders Equity
Amazon,2021,Q3,10-Q,2021-09-30,,21419.0,26263.0,37.02,382406.0,120564.0
Amazon,2022,Annual,10-K,2022-12-31,,12248.0,-2722.0,-0.27,462675.0,146043.0
Amazon,2022,Q1,10-Q,2022-03-31,,3669.0,21413.0,-7.56,410767.0,134001.0
Amazon,2022,Q2,10-Q,2022-06-30,,6986.0,11607.0,-0.58,419728.0,131402.0
Amazon,2022,Q3,10-Q,2022-09-30,,9511.0,11323.0,-0.29,428362.0,137489.0
Amazon,2023,Annual,10-K,2023-12-31,,36852.0,30425.0,2.9,527854.0,201875.0
Amazon,2023,Q1,10-Q,2023-03-31,,4774.0,4294.0,0.31,464378.0,154526.0
Amazon,2023,Q2,10-Q,2023-06-30,,12455.0,13072.0,0.95,477607.0,168602.0
Amazon,2023,Q3,10-Q,2023-09-30,,23643.0,20079.0,1.89,486883.0,182973.0
Amazon,2024,Annual,10-K,2024-12-31,,68593.0,59248.0,5.53,624894.0,285970.0
Amazon,2024,Q1,10-Q,2024-03-31,,15307.0,37684.0,0.98,530969.0,216661.0
Amazon,2024,Q2,10-Q,2024-06-30,,29979.0,44419.0,2.24,554818.0,236447.0
Amazon,2024,Q3,10-Q,2024-09-30,,47390.0,49868.0,3.67,584626.0,259151.0
Amazon,2025,Q1,10-Q,2025-03-31,,18405.0,65944.0,1.59,643256.0,305867.0
Apple,2020,Annual,10-K,2020-09-26,,66288.0,57411.0,3.28,323888.0,65339.0
Apple,2020,Q1,10-Q,2019-12-28,,25569.0,22236.0,4.99,340618.0,89531.0
Apple,2020,Q2,10-Q,2020-03-28,,38422.0,33485.0,7.56,320400.0,78425.0
Apple,2020,Q3,10-Q,2020-06-27,,51513.0,44738.0,10.16,317344.0,72282.0
Apple,2021,Annual,10-K,2021-09-25,,108949.0,94680.0,5.61,351002.0,63090.0
Apple,2021,Q1,10-Q,2020-12-26,,33534.0,28755.0,1.68,354054.0,66224.0
Apple,2021,Q2,10-Q,2021-03-27,,61037.0,52385.0,3.08,337158.0,69178.0
Apple,2021,Q3,10-Q,2021-06-26,,85163.0,74129.0,4.38,329840.0,64280.0
Apple,2022,Annual,10-K,2022-09-24,,119437.0,99803.0,6.11,352755.0,50672.0
Apple,2022,Q1,10-Q,2021-12-25,,41488.0,34630.0,2.1,381191.0,71932.0
Apple,2022,Q2,10-Q,2022-03-26,,71467.0,59640.0,3.62,350662.0,67399.0
Apple,2022,Q3,10-Q,2022-06-25,,94543.0,79082.0,4.82,336309.0,58107.0
Apple,2023,Annual,10-K,2023-09-30,,114301.0,96995.0,6.13,352583.0,62146.0
Apple,2023,Q1,10-Q,2022-12-31,,36016.0,29998.0,1.88,346747.0,56727.0
Apple,2023,Q2,10-Q,2023-04-01,,64334.0,54158.0,3.41,332160.0,62158.0
Apple,2023,Q3,10-Q,2023-07-01,,87332.0,74039.0,4.67,335038.0,60274.0
Apple,2024,Annual,10-K,2024-09-28,,123216.0,93736.0,6.08,364980.0,56950.0
Apple,2024,Q1,10-Q,2023-12-30,,40373.0,33916.0,2.18,353514.0,74100.0
Apple,2024,Q2,10-Q,2024-03-30,,68273.0,57552.0,3.71,337411.0,74194.0
Apple,2024,Q3,10-Q,2024-06-29,,93625.0,79000.0,5.11,331612.0,66708.0
Apple,2025,Q1,10-Q,2024-12-28,,42832.0,36330.0,2.4,344085.0,66758.0
Apple,2025,Q2,10-Q,2025-03-29,,72421.0,61110.0,4.05,331233.0,66796.0
Meta,2020,Annual,10-K,2020-12-31,,32671.0,29146.0,10.09,159316.0,128290.0
Meta,2020,Q1,10-Q,2020-03-31,,5893.0,4902.0,1.71,138371.0,105304.0
Meta,2020,Q2,10-Q,2020-06-30,,11856.0,10081.0,3.51,139691.0,110447.0
Meta,2020,Q3,10-Q,2020-09-30,,19896.0,17927.0,6.22,146437.0,117731.0
Meta,2021,Annual,10-K,2021-12-31,,46753.0,39370.0,13.77,165987.0,124879.0
Meta,2021,Q1,10-Q,2021-03-31,,11378.0,9497.0,3.3,163523.0,133657.0
Meta,2021,Q2,10-Q,2021-06-30,,23745.0,19892.0,6.9,170609.0,138227.0
Meta,2021,Q3,10-Q,2021-09-30,,34168.0,29085.0,10.11,169585.0,133360.0
Meta,2022,Annual,10-K,2022-12-31,,28944.0,23200.0,8.59,185727.0,125713.0
Meta,2022,Q1,10-Q,2022-03-31,,8524.0,7465.0,2.72,164218.0,123228.0
Meta,2022,Q2,10-Q,2022-06-30,,16881.0,14152.0,5.19,169779.0,125767.0
Meta,2022,Q3,10-Q,2022-09-30,,22545.0,18547.0,6.82,178894.0,124094.0
Meta,2023,Annual,10-K,2023-12-31,,46751.0,39098.0,14.87,229623.0,153168.0
Meta,2023,Q1,10-Q,2023-03-31,,7227.0,5709.0,2.2,184491.0,124795.0
Meta,2023,Q2,10-Q,2023-06-30,,16619.0,13498.0,5.18,206688.0,134033.0
Meta,2023,Q3,10-Q,2023-09-30,,30367.0,25081.0,9.56,216274.0,142873.0
Meta,2024,Annual,10-K,2024-12-31,,69380.0,62360.0,23.86,276054.0,182637.0
Meta,2024,Q1,10-Q,2024-03-31,,13818.0,12369.0,4.71,222844.0,149529.0
Meta,2024,Q2,10-Q,2024-06-30,,28665.0,25834.0,9.86,230238.0,156763.0
Meta,2024,Q3,10-Q,2024-09-30,,46016.0,41522.0,15.88,256408.0,164529.0
Meta,2025,Q1,10-Q,2025-03-31,,17555.0,16644.0,6.43,280213.0,185029.0
Microsoft,2020,Annual,10-K,2020-06-30,,52959.0,44281.0,5.76,301311.0,118304.0
Microsoft,2020,Q1,10-Q,2019-09-30,,12686.0,10678.0,1.38,278955.0,106061.0
Microsoft,2020,Q2,10-Q,2019-12-31,,26577.0,22327.0,2.9,282794.0,110109.0
Microsoft,2020,Q3,10-Q,2020-03-31,,39552.0,33079.0,4.3,285449.0,114501.0
Microsoft,2021,Annual,10-K,2021-06-30,,69916.0,61271.0,8.05,333779.0,141988.0
Microsoft,2021,Q1,10-Q,2020-09-30,,15876.0,13893.0,1.82,301001.0,123392.0
Microsoft,2021,Q2,10-Q,2020-12-31,,33773.0,29356.0,3.85,304137.0,130236.0
Microsoft,2021,Q3,10-Q,2021-03-31,,50821.0,44813.0,5.88,308879.0,134505.0
Microsoft,2022,Annual,10-K,2022-06-30,,83383.0,72738.0,9.65,364840.0,166542.0
Microsoft,2022,Q1,10-Q,2021-09-30,,20238.0,20505.0,2.71,335418.0,151978.0
Microsoft,2022,Q2,10-Q,2021-12-31,,42485.0,39270.0,5.19,340389.0,160010.0
Microsoft,2022,Q3,10-Q,2022-03-31,,62849.0,55998.0,7.41,344607.0,162924.0
Microsoft,2023,Annual,10-K,2023-06-30,,88523.0,72361.0,9.68,411976.0,206223.0
Microsoft,2023,Q1,10-Q,2022-09-30,,21518.0,17556.0,2.35,359784.0,173566.0
Microsoft,2023,Q2,10-Q,2022-12-31,,41917.0,33981.0,4.54,364552.0,183136.0
Microsoft,2023,Q3,10-Q,2023-03-31,,64269.0,52280.0,6.99,380088.0,194683.0
Microsoft,2024,Annual,10-K,2024-06-30,,109433.0,88136.0,11.8,512163.0,268477.0
Microsoft,2024,Q1,10-Q,2023-09-30,,26895.0,22291.0,2.99,445785.0,220714.0
Microsoft,2024,Q2,10-Q,2023-12-31,,53927.0,44161.0,5.92,470558.0,238268.0
Microsoft,2024,Q3,10-Q,2024-03-31,,81508.0,66100.0,8.85,484275.0,253152.0
Microsoft,2025,Q1,10-Q,2024-09-30,,30552.0,24667.0,3.3,523013.0,287723.0
Microsoft,2025,Q2,10-Q,2024-12-31,,62205.0,48775.0,6.53,533898.0,302695.0
Microsoft,2025,Q3,10-Q,2025-03-31,,94205.0,74599.0,9.99,562624.0,321891.0
Nvidia,2020,Annual,10-K,2020-01-26,,2846.0,2796.0,4.52,17315.0,12204.0
Nvidia,2020,Q1,10-Q,2020-04-26,,976.0,917.0,1.47,23254.0,13099.0
Nvidia,2020,Q2,10-Q,2020-07-26,,1627.0,1539.0,2.47,25180.0,13914.0
Nvidia,2020,Q3,10-Q,2019-10-27,,1856.0,1845.0,2.99,15810.0,11214.0
Nvidia,2021,Annual,10-K,2021-01-31,,4532.0,4332.0,6.9,28791.0,16893.0
Nvidia,2021,Q3,10-Q,2020-10-25,,3025.0,2875.0,4.59,26881.0,15334.0
Nvidia,2022,Annual,10-K,2022-01-30,,10041.0,9752.0,3.85,44187.0,26612.0
Nvidia,2022,Q1,10-Q,2021-05-02,,1956.0,1912.0,3.03,30796.0,18774.0
Nvidia,2022,Q2,10-Q,2021-08-01,,4400.0,4285.0,1.69,38650.0,21147.0
Nvidia,2022,Q3,10-Q,2021-10-31,,7071.0,6749.0,2.67,40632.0,23798.0
Nvidia,2023,Annual,10-K,2023-01-29,,4224.0,4368.0,1.74,41182.0,22101.0
Nvidia,2023,Q1,10-Q,2022-05-01,,1868.0,1618.0,0.64,45212.0,26320.0
Nvidia,2023,Q2,10-Q,2022-07-31,,2367.0,2274.0,0.9,43476.0,23851.0
Nvidia,2023,Q3,10-Q,2022-10-30,,2968.0,2954.0,1.17,40488.0,21349.0
Nvidia,2024,Annual,10-K,2024-01-28,,32972.0,29760.0,11.93,65728.0,42978.0
Nvidia,2024,Q1,10-Q,2023-04-30,,2140.0,2043.0,0.82,44460.0,24520.0
Nvidia,2024,Q2,10-Q,2023-07-30,,8941.0,8232.0,3.3,49555.0,27501.0
Nvidia,2024,Q3,10-Q,2023-10-29,,19358.0,17475.0,7.01,54148.0,33265.0
Nvidia,2025,Annual,10-K,2025-01-26,,81453.0,72880.0,2.94,111601.0,79327.0
Nvidia,2025,Q1,10-Q,2024-04-28,,16909.0,14881.0,5.98,77072.0,49142.0
Nvidia,2025,Q2,10-Q,2024-07-28,,35551.0,31480.0,1.27,85227.0,58157.0
Nvidia,2025,Q3,10-Q,2024-10-27,,57419.0,50789.0,2.04,96013.0,65899.0
Tesla,2020,Annual,10-K,2020-12-31,,1994.0,721.0,0.64,52148.0,22225.0
Tesla,2020,Q1,10-Q,2020-03-31,,283.0,16.0,0.08,37250.0,9173.0
Tesla,2020,Q2,10-Q,2020-06-30,,610.0,120.0,0.59,38135.0,9855.0
Tesla,2020,Q3,10-Q,2020-09-30,,1419.0,451.0,0.4,45691.0,16031.0
Tesla,2021,Annual,10-K,2021-12-31,,6523.0,5519.0,4.9,62131.0,30189.0
Tesla,2021,Q1,10-Q,2021-03-31,,594.0,438.0,0.39,52972.0,23017.0
Tesla,2021,Q2,10-Q,2021-06-30,,1906.0,1580.0,1.41,55146.0,24804.0
Tesla,2021,Q3,10-Q,2021-09-30,,3910.0,3198.0,2.84,57834.0,27053.0
Tesla,2022,Annual,10-K,2022-12-31,,13656.0,12556.0,3.62,82338.0,44704.0
Tesla,2022,Q1,10-Q,2022-03-31,,3603.0,3318.0,2.86,66038.0,34085.0
Tesla,2022,Q2,10-Q,2022-06-30,,6067.0,5577.0,4.82,68513.0,36376.0
Tesla,2022,Q3,10-Q,2022-09-30,,9755.0,8869.0,2.55,74426.0,39851.0
Tesla,2023,Annual,10-K,2023-12-31,,8891.0,14997.0,4.3,106618.0,62634.0
Tesla,2023,Q1,10-Q,2023-03-31,,2664.0,2513.0,0.73,86833.0,48054.0
Tesla,2023,Q2,10-Q,2023-06-30,,5063.0,5216.0,1.5,90591.0,51130.0
Tesla,2023,Q3,10-Q,2023-09-30,,6827.0,7069.0,2.03,93941.0,53466.0
Tesla,2024,Annual,10-K,2024-12-31,,7076.0,7091.0,2.04,122070.0,72913.0
Tesla,2024,Q1,10-Q,2024-03-31,,1171.0,1129.0,0.34,109226.0,64378.0
Tesla,2024,Q2,10-Q,2024-06-30,,2776.0,2607.0,0.76,112832.0,66468.0
Tesla,2024,Q3,10-Q,2024-09-30,,5493.0,4774.0,1.38,119852.0,69931.0
Tesla,2025,Q1,10-Q,2025-03-31,,399.0,409.0,0.12,125111.0,74653.0
