Company,Fiscal Year,Period,Report Type,End Date,Operating Income,Net Income,Total Revenue,Total Revenue,Gross Profit,EPS Basic,EPS Diluted,Total Assets,Total Liabilities,Shareholders Equity
Microsoft,2023,Q1,10-Q,2022-09-30,21518.0,17556.0,,,34670.0,2.35,2.35,359784.0,186218.0,173566.0
Microsoft,2023,Q2,10-Q,2022-12-31,41917.0,33981.0,,,69929.0,4.56,4.54,364552.0,181416.0,183136.0
Microsoft,2023,Q3,10-Q,2023-03-31,64269.0,52280.0,,,106658.0,7.02,6.99,380088.0,185405.0,194683.0
Microsoft,2024,Annual,10-K,2024-06-30,109433.0,88136.0,,,171008.0,11.86,11.8,512163.0,243686.0,268477.0
Microsoft,2024,Q1,10-Q,2023-09-30,26895.0,22291.0,,,40215.0,3.0,2.99,445785.0,225071.0,220714.0
Microsoft,2024,Q2,10-Q,2023-12-31,53927.0,44161.0,,,82612.0,5.94,5.92,470558.0,232290.0,238268.0
Microsoft,2024,Q3,10-Q,2024-03-31,81508.0,66100.0,,,125965.0,8.9,8.85,484275.0,231123.0,253152.0
Nvidia,2020,Annual,10-K,2021-01-31,4532.0,4332.0,,,10396.0,7.02,6.9,28791.0,11898.0,16893.0
Nvidia,2020,Q1,10-Q,2020-04-26,976.0,917.0,3080000000.0,3080000000.0,2004.0,1.49,1.47,23254.0,10155.0,13099.0
Nvidia,2020,Q2,10-Q,2020-07-26,1627.0,1539.0,6946000000.0,6946000000.0,4279.0,2.5,2.47,25180.0,11266.0,13914.0
Nvidia,2020,Q3,10-Q,2019-10-27,1856.0,1845.0,7813000000.0,7813000000.0,4753.0,3.03,2.99,15810.0,4596.0,11214.0
Nvidia,2021,Q3,10-Q,2020-10-25,3025.0,2875.0,11672000000.0,11672000000.0,7240.0,4.67,4.59,26881.0,11547.0,15334.0
Nvidia,2022,Annual,10-K,2022-01-30,10041.0,9752.0,26914000000.0,26914000000.0,17475.0,3.91,3.85,44187.0,17575.0,26612.0
Nvidia,2022,Q1,10-Q,2021-05-02,1956.0,1912.0,5661000000.0,5661000000.0,3629.0,3.08,3.03,30796.0,12022.0,18774.0
Nvidia,2022,Q2,10-Q,2021-08-01,4400.0,4285.0,12168000000.0,12168000000.0,7844.0,1.72,1.69,38650.0,17503.0,21147.0
Nvidia,2022,Q3,10-Q,2021-10-31,7071.0,6749.0,19271000000.0,19271000000.0,12476.0,2.71,2.67,40632.0,16834.0,23798.0
Nvidia,2023,Annual,10-K,2023-01-29,4224.0,4368.0,26974000000.0,26974000000.0,15356.0,1.76,1.74,41182.0,19081.0,22101.0
Nvidia,2023,Q1,10-Q,2022-05-01,1868.0,1618.0,8288000000.0,8288000000.0,5431.0,0.65,0.64,45212.0,18892.0,26320.0
Nvidia,2023,Q2,10-Q,2022-07-31,2367.0,2274.0,14992000000.0,14992000000.0,8346.0,0.91,0.9,43476.0,19625.0,23851.0
Nvidia,2023,Q3,10-Q,2022-10-30,2968.0,2954.0,20923000000.0,20923000000.0,11523.0,1.18,1.17,40488.0,19139.0,21349.0
Nvidia,2024,Annual,10-K,2024-01-28,32972.0,29760.0,60922000000.0,60922000000.0,44301.0,12.05,11.93,65728.0,22750.0,42978.0
Nvidia,2024,Q1,10-Q,2023-04-30,2140.0,2043.0,7192000000.0,7192000000.0,4648.0,0.83,0.82,44460.0,19940.0,24520.0
Nvidia,2024,Q2,10-Q,2023-07-30,8941.0,8232.0,20699000000.0,20699000000.0,14110.0,3.33,3.3,49555.0,22054.0,27501.0
Nvidia,2024,Q3,10-Q,2023-10-29,19358.0,17475.0,38819000000.0,38819000000.0,27510.0,7.07,7.01,54148.0,20883.0,33265.0
Tesla,2020,Annual,10-K,2020-12-31,1994.0,721.0,31536000000.0,31536000000.0,6630.0,0.74,0.64,52148.0,28418.0,22225.0
Tesla,2020,Q1,10-Q,2020-03-31,283.0,16.0,5985000000.0,5985000000.0,1234.0,0.09,0.08,37250.0,26518.0,9173.0
Tesla,2020,Q2,10-Q,2020-06-30,610.0,120.0,12021000000.0,12021000000.0,2501.0,0.65,0.59,38135.0,26754.0,9855.0
Tesla,2020,Q3,10-Q,2020-09-30,1419.0,451.0,20792000000.0,20792000000.0,4564.0,0.45,0.4,45691.0,28143.0,16031.0
Tesla,2021,Annual,10-K,2021-12-31,6523.0,5519.0,53823000000.0,53823000000.0,13606.0,5.6,4.9,62131.0,30548.0,30189.0
Tesla,2021,Q1,10-Q,2021-03-31,594.0,438.0,10389000000.0,10389000000.0,2215.0,0.46,0.39,52972.0,28507.0,23017.0
Tesla,2021,Q2,10-Q,2021-06-30,1906.0,1580.0,22347000000.0,22347000000.0,5099.0,1.64,1.41,55146.0,28896.0,24804.0
Tesla,2021,Q3,10-Q,2021-09-30,3910.0,3198.0,36104000000.0,36104000000.0,8759.0,3.27,2.84,57834.0,29340.0,27053.0
Tesla,2022,Annual,10-K,2022-12-31,13656.0,12556.0,81462000000.0,81462000000.0,20853.0,4.02,3.62,82338.0,36440.0,44704.0
Tesla,2022,Q1,10-Q,2022-03-31,3603.0,3318.0,18756000000.0,18756000000.0,5460.0,3.2,2.86,66038.0,30632.0,34085.0
Tesla,2022,Q2,10-Q,2022-06-30,6067.0,5577.0,35690000000.0,35690000000.0,9694.0,5.38,4.82,68513.0,30855.0,36376.0
Tesla,2022,Q3,10-Q,2022-09-30,9755.0,8869.0,57144000000.0,57144000000.0,15076.0,2.84,2.55,74426.0,33302.0,39851.0
Tesla,2023,Annual,10-K,2023-12-31,8891.0,14997.0,96773000000.0,96773000000.0,17660.0,4.73,4.3,106618.0,43009.0,62634.0
Tesla,2023,Q1,10-Q,2023-03-31,2664.0,2513.0,23329000000.0,23329000000.0,4511.0,0.8,0.73,86833.0,37598.0,48054.0
Tesla,2023,Q2,10-Q,2023-06-30,5063.0,5216.0,48256000000.0,48256000000.0,9044.0,1.65,1.5,90591.0,38409.0,51130.0
Tesla,2023,Q3,10-Q,2023-09-30,6827.0,7069.0,71606000000.0,71606000000.0,13222.0,2.23,2.03,93941.0,39446.0,53466.0
Tesla,2024,Annual,10-K,2024-12-31,7076.0,7091.0,97690000000.0,97690000000.0,17450.0,2.23,2.04,122070.0,48390.0,72913.0
Tesla,2024,Q1,10-Q,2024-03-31,1171.0,1129.0,21301000000.0,21301000000.0,3696.0,0.37,0.34,109226.0,44046.0,64378.0
Tesla,2024,Q2,10-Q,2024-06-30,2776.0,2607.0,46801000000.0,46801000000.0,8274.0,0.83,0.76,112832.0,45569.0,66468.0
Tesla,2024,Q3,10-Q,2024-09-30,5493.0,4774.0,71983000000.0,71983000000.0,13271.0,1.51,1.38,119852.0,49142.0,69931.0
