Date,GOOGL
2020-12-14,87.19611358642578
2020-12-15,87.63502502441406
2020-12-16,87.44144439697266
2020-12-17,86.61141204833984
2020-12-18,85.90030670166016
2020-12-21,86.3153305053711
2020-12-22,85.60173797607422
2020-12-23,86.00033569335938
2020-12-24,86.29542541503906
2020-12-28,88.27595520019531
2020-12-29,87.46981811523438
2020-12-30,86.39942932128906
2020-12-31,87.21502685546875
2021-01-04,85.89584350585938
2021-01-05,86.5885238647461
2021-01-06,85.73410034179688
2021-01-07,88.29486846923828
2021-01-08,89.46378326416016
2021-01-11,87.39665985107422
2021-01-12,86.45814514160156
2021-01-13,86.94682312011719
2021-01-14,86.13420104980469
2021-01-15,85.96998596191406
2021-01-19,88.79895782470703
2021-01-20,93.55621337890625
2021-01-21,93.75923156738281
2021-01-22,94.177734375
