Date,META
2020-12-15,274.2574462890625
2020-12-16,274.37689208984375
2020-12-17,273.1924743652344
2020-12-18,275.1033935546875
2020-12-21,271.5104064941406
2020-12-22,265.83709716796875
2020-12-23,266.852294921875
2020-12-24,266.1456604003906
2020-12-28,275.70062255859375
2020-12-29,275.48162841796875
2020-12-30,270.59466552734375
2020-12-31,271.8786315917969
2021-01-04,267.67840576171875
2021-01-05,269.69891357421875
2021-01-06,262.0747985839844
2021-01-07,267.4794006347656
2021-01-08,266.31488037109375
2021-01-11,255.6352081298828
2021-01-12,249.9121551513672
2021-01-13,250.45957946777344
2021-01-14,244.4877166748047
2021-01-15,250.18089294433594
2021-01-19,259.8752136230469
2021-01-20,266.2253112792969
2021-01-21,271.5899963378906
2021-01-22,273.2123107910156
2021-01-25,276.7059020996094
