Date,NVDA
2020-12-14,13.273838996887207
2020-12-15,13.32544994354248
2020-12-16,13.20776081085205
2020-12-17,13.306253433227539
2020-12-18,13.237184524536133
2020-12-21,13.297274589538574
2020-12-22,13.243417739868164
2020-12-23,12.97512435913086
2020-12-24,12.959663391113281
2020-12-28,12.866157531738281
2020-12-29,12.909296035766602
2020-12-30,13.11126708984375
2020-12-31,13.02074909210205
2021-01-04,13.07909870147705
2021-01-05,13.369584083557129
2021-01-06,12.581408500671387
2021-01-07,13.30899429321289
2021-01-08,13.241920471191406
2021-01-11,13.585766792297363
2021-01-12,13.449374198913574
2021-01-13,13.496252059936523
2021-01-14,13.165620803833008
2021-01-15,12.825764656066895
2021-01-19,12.991080284118652
2021-01-20,13.3306884765625
2021-01-21,13.831121444702148
