Date,MSFT
2020-12-14,206.63522338867188
2020-12-15,206.5677490234375
2020-12-16,211.53585815429688
2020-12-17,211.6709442138672
2020-12-18,210.87022399902344
2020-12-21,214.72897338867188
2020-12-22,216.03131103515625
2020-12-23,213.21438598632812
2020-12-24,214.88331604003906
2020-12-28,217.01528930664062
2020-12-29,216.23387145996094
2020-12-30,213.85107421875
2020-12-31,214.56495666503906
2021-01-04,210.0019989013672
2021-01-05,210.20460510253906
2021-01-06,204.75411987304688
2021-01-07,210.58078002929688
2021-01-08,211.86383056640625
2021-01-11,209.80906677246094
2021-01-12,207.3394775390625
2021-01-13,208.6996612548828
2021-01-14,205.4969482421875
2021-01-15,205.13999938964844
2021-01-19,208.796142578125
2021-01-20,216.4171600341797
2021-01-21,217.02490234375
2021-01-22,217.9702911376953
